original_filename,new_path,width,height,bytes
"ChatGPT Image Jul 29, 2026, 11_15_42 AM (1).png",assets/smudges/smudge-01-hyper-pounce.webp,128,74,3740
"ChatGPT Image Jul 29, 2026, 11_15_42 AM (2).png",assets/smudges/smudge-02-speed-walk.webp,123,128,3874
"ChatGPT Image Jul 29, 2026, 11_15_43 AM (10).png",assets/smudges/smudge-03-startled-dance.webp,124,128,4558
"ChatGPT Image Jul 29, 2026, 11_15_43 AM (3).png",assets/smudges/smudge-04-tall-sit.webp,76,128,4160
"ChatGPT Image Jul 29, 2026, 11_15_43 AM (4).png",assets/smudges/smudge-05-puffed-stand.webp,127,128,4002
"ChatGPT Image Jul 29, 2026, 11_15_43 AM (5).png",assets/smudges/smudge-06-wide-eyed-sit.webp,89,128,4590
"ChatGPT Image Jul 29, 2026, 11_15_43 AM (6).png",assets/smudges/smudge-07-low-stalk.webp,126,128,3542
"ChatGPT Image Jul 29, 2026, 11_15_43 AM (7).png",assets/smudges/smudge-08-goblin-claw.webp,128,124,3570
"ChatGPT Image Jul 29, 2026, 11_15_43 AM (8).png",assets/smudges/smudge-09-vertical-grab.webp,90,128,2782
"ChatGPT Image Jul 29, 2026, 11_15_43 AM (9).png",assets/smudges/smudge-10-full-sprint.webp,128,122,7664
"ChatGPT Image Jul 29, 2026, 11_16_07 AM (1).png",assets/smudges/smudge-11-whirlwind.webp,128,122,9896
"ChatGPT Image Jul 29, 2026, 11_16_07 AM (10).png",assets/smudges/smudge-12-upside-down-flail.webp,128,124,4270
"ChatGPT Image Jul 29, 2026, 11_16_07 AM (2).png",assets/smudges/smudge-13-low-pounce.webp,128,112,5078
"ChatGPT Image Jul 29, 2026, 11_16_07 AM (3).png",assets/smudges/smudge-14-boxing-stance.webp,115,128,4266
"ChatGPT Image Jul 29, 2026, 11_16_07 AM (4).png",assets/smudges/smudge-15-grumpy-loaf.webp,115,128,3264
"ChatGPT Image Jul 29, 2026, 11_16_07 AM (5).png",assets/smudges/smudge-16-sideways-startle.webp,124,128,4206
"ChatGPT Image Jul 29, 2026, 11_16_07 AM (6).png",assets/smudges/smudge-17-puffball-crouch.webp,125,128,3878
"ChatGPT Image Jul 29, 2026, 11_16_07 AM (7).png",assets/smudges/smudge-18-belly-roll.webp,128,120,3956
"ChatGPT Image Jul 29, 2026, 11_16_07 AM (8).png",assets/smudges/smudge-19-alert-stand.webp,119,128,3942
"ChatGPT Image Jul 29, 2026, 11_16_07 AM (9).png",assets/smudges/smudge-20-long-stretch.webp,128,88,2334
"ChatGPT Image Jul 29, 2026, 11_16_29 AM (1).png",assets/smudges/smudge-21-tornado-spin.webp,117,128,11988
"ChatGPT Image Jul 29, 2026, 11_16_29 AM (2).png",assets/smudges/smudge-22-slide-pounce.webp,128,98,5144
"ChatGPT Image Jul 29, 2026, 11_16_30 AM (10).png",assets/smudges/smudge-23-upside-down-drop.webp,90,128,2522
"ChatGPT Image Jul 29, 2026, 11_16_30 AM (3).png",assets/smudges/smudge-24-meerkat-stand.webp,90,128,2834
"ChatGPT Image Jul 29, 2026, 11_16_30 AM (4).png",assets/smudges/smudge-25-judgment-loaf.webp,127,128,2564
"ChatGPT Image Jul 29, 2026, 11_16_30 AM (5).png",assets/smudges/smudge-26-arched-side-eye.webp,128,121,4734
"ChatGPT Image Jul 29, 2026, 11_16_30 AM (6).png",assets/smudges/smudge-27-sneak-crawl.webp,122,128,3834
"ChatGPT Image Jul 29, 2026, 11_16_30 AM (7).png",assets/smudges/smudge-28-chaos-roll.webp,124,128,4124
"ChatGPT Image Jul 29, 2026, 11_16_30 AM (8).png",assets/smudges/smudge-29-bristled-stand.webp,128,121,5116
"ChatGPT Image Jul 29, 2026, 11_16_30 AM (9).png",assets/smudges/smudge-30-downward-stretch.webp,112,128,3684
"ChatGPT Image Jul 29, 2026, 11_17_06 AM.png",assets/dexter/dexter-unimpressed.webp,128,125,4140
